year;white;white_elo;black;black_elo;result;eco;moves
2024;Gukesh;2764;Wei;2755;Derrota;B22;1.e4 c5 2.c3 Nf6 3.e5 Nd5 4.Nf3 d6 5.Bc4 Nb6 6.e6 Bxe6 7.Bxe6 fxe6 8.d4 cxd4
2024;Praggnanandhaa;2747;Gukesh;2764;Derrota;C90;1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.0-0 Be7 6.d3 b5 7.Bb3 d6 8.c3 0-0
2024;Gukesh;2764;Giri;2745;Empate;A05;1.Nf3 Nf6 2.g3 g6 3.b3 d5 4.Bb2 c5 5.Bg2 Bg7 6.0-0 0-0 7.e3 Nc6 8.d4 cxd4
2024;Gukesh;2764;Praggnanandhaa;2747;Derrota;A49;1.Nf3 Nf6 2.g3 g6 3.b3 Bg7 4.Bb2 0-0 5.Bg2 d6 6.d4 a5 7.0-0 a4 8.b4 c6
2024;Giri;2745;Gukesh;2764;Empate;D35;1.Nf3 d5 2.d4 Nf6 3.c4 e6 4.Nc3 h6 5.cxd5 exd5 6.Bf4 c6 7.e3 Bf5 8.Bd3 Bxd3
2024;Gukesh;2764;Praggnanandhaa;2747;Vitoria;A05;1.Nf3 Nf6 2.b3 g6 3.Bb2 Bg7 4.g3 b6 5.Bg2 Bb7 6.0-0 0-0 7.e3 c5 8.d4 cxd4
2024;Gukesh;2764;Giri;2745;Empate;C90;1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.0-0 Be7 6.d3 b5 7.Bb3 d6 8.c3 0-0
2024;Gukesh;2764;Duda;2734;Derrota;A62;1.d4 Nf6 2.c4 e6 3.g3 c5 4.d5 exd5 5.cxd5 d6 6.Bg2 g6 7.Nf3 Bg7 8.Nc3 0-0
2024;Duda;2734;Gukesh;2764;Vitoria;C60;1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nge7 5.0-0 Ng6 6.c3 d5 7.exd5 Qxd5 8.Bb3 Qd3
2024;Duda;2734;Gukesh;2764;Derrota;D79;1.d4 Nf6 2.Nf3 d5 3.g3 g6 4.Bg2 Bg7 5.c4 c6 6.cxd5 cxd5 7.Nc3 0-0 8.Ne5 Nc6
2024;Gukesh;2763;Deac;2680;Vitoria;E46;1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.e3 0-0 5.Bd2 c5 6.d5 d6 7.Bd3 exd5 8.cxd5 Nbd7
2024;Gukesh;2764;Keymer;2726;Derrota;D50;1.d4 Nf6 2.c4 e6 3.Nf3 d5 4.Nc3 c5 5.cxd5 cxd4 6.Qxd4 exd5 7.Bg5 Be7 8.e3 0-0
2024;Gukesh;2764;Suleymanli;2632;Vitoria;C54;1.e4 e5 2.Nf3 Nc6 3.Bc4 Nf6 4.d3 Bc5 5.Bg5 h6 6.Bh4 g5 7.Bg3 d6 8.c3 a5
2024;Keymer;2726;Gukesh;2764;Derrota;D07;1.Nf3 d5 2.e3 Nf6 3.c4 e6 4.Nc3 Nc6 5.d4 g6 6.Be2 Bg7 7.0-0 0-0 8.b3 Qe7
2024;Keymer;2726;Gukesh;2764;Vitoria;E10;1.d4 Nf6 2.c4 e6 3.Nf3 h6 4.Bf4 b6 5.Nc3 Bb4 6.e3 Bb7 7.Bd3 Bxc3+ 8.bxc3 d6
2024;Nakamura;2789;Gukesh;2743;Empate;E51;1.d4 d5 2.c4 dxc4 3.Nf3 Nf6 4.e3 e6 5.Bxc4 Be7 6.Nc3 c5 7.a3 0-0 8.0-0 a6
2024;Gukesh;2743;Caruana;2803;Empate;D35;1.d4 Nf6 2.c4 e6 3.Nf3 d5 4.Nc3 Nbd7 5.cxd5 exd5 6.Bg5 h6 7.Bh4 c6 8.e3 g5
2024;Gukesh;2743;Firouzja;2760;Vitoria;C65;1.e4 e5 2.Nf3 Nc6 3.Bb5 Nf6 4.d3 Bc5 5.0-0 Nd4 6.Nxd4 Bxd4 7.Nd2 c6 8.Bc4 d6
2024;Gukesh;2743;Nakamura;2789;Empate;B27;1.e4 c5 2.Nf3 g6 3.c3 d5 4.e5 Bg4 5.Bb5+ Nc6 6.Bxc6+ bxc6 7.0-0 c4 8.d3 cxd3
2024;Caruana;2803;Gukesh;2743;Empate;C54;1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.0-0 Nf6 5.d3 d6 6.c3 a6 7.a4 Ba7 8.h3 0-0
2024;Nepomniachtchi;2758;Gukesh;2743;Empate;C70;1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nge7 5.d4 exd4 6.Nxd4 Nxd4 7.Qxd4 Nc6 8.Qe3 Be7
